S/N,PROJECT TITLE,PROJECT CATEGORY,Country(diry),OWNER NAME,BLURB
275C,Glass Mountain: An Original Fairytale,Plays,United Kingdom,Broken Glass Theatre Company,"A new tale of witches, fairies, cat-hunters and and bone-boilers from London theatre company Broken Glass."
482C,Shakespeare on the Trapeze!,Theater,United States,Matchbook Productions,"Eight actorsfour low-flying trapezesand live music combine to raise the language of Shakespeare's ""Richard II"" to new heights!"
119B,Knightmare Live; The cult TV show on stage for the 1st time,Theater,United Kingdom,Paul Flannery,"We're turning the cult TV show into an immersive, hilarious, interactive theatrical adventure; expect riddles, monsters & spellcasting"
73B,12 for '12 (3.0): Dangerous Games Novels,Fiction,United States,Matt Forbeck,"I'm writing a dozen novels in 2012, a trilogy at a time. The third group is set at the largest adventure game convention in America."
576C,Banners & Cranks - first ever festival and exhibition of cantastoria in North America,Theater,United States,Dave Buchen,A festival and an exhibition of Cantastoria this April in Chicagoand an accompanying hand printed catalogue as work of art and reference source.
242C,Twelfth Night or What You Will,Plays,United Kingdom,Yellowbelly Theatre,Yellowbelly Theatre needs your help to bring this incredible play of lovelust and mistaken identity to life in our debut performance!
243B,Bigger Than i,Theater,United States,Counting Squares Theatre,We have them. We keep them. We share them. Sometimes. CST explores the greatest common denominator....secrets.
41,The Journey to the Aerial Dragon!,Theater,United States,Kaitlin Chin,"Two beautiful women, one giant dragon (with lots of strings attached!), and aerial acrobatics."
492B,Bluebirds by Joe Brondo,Plays,United States,Joe Brondo,A guy named Walt steals a book and plans to sell it to get his life on track... until his wife finds out.
328B,"The Revenger's Tragedy: Revenge is Sweet, So Give Us Some Sugar!",Theater,United States,Joya Scott,"Festina Lente presents its inaugural production, a radical adaptation of The Revenger's Tragedy."
55,Living Tarot Oracles: A Life Changing Theater Experience,Immersive,US,Celeste Aurorean,The Living Tarot Oracle is a one-of-a-kind Sacred Interactive Event where the major arcana cards come to life to answer your questions
170B,Quarantine: Origins,Immersive,United States,Blackout Theatre,"Quarantine is an interactive haunted house. Make choices, learn secrets, navigate a creepy farm & corn maze to learn how it all began!"
211C,The Seven Swan Brothers,Theater,United States,Megan Skye Hale,Mask and puppet performance of the lesser known fairy tale The Seven Swan Brothers.  Collaborative effort of movementmasksand love.
588C,GUD Magazine Issue 7,Periodicals,United States,Kaolin Fire,"Literary + genre fiction, poetry, art, and more! Help us get issue 7 out the door and into best-of anthos. Because it's that good."
556C,AlmostMaine - A FREEKS Theater Production,Theater,United States,Alexander Kucy,"Almost, Maine is an immersive theater experience about nine couples dealing with the joys, difficulties, and bitter-sweetness of love."
374C,150th Anniversary Edition - Alice's Adventures Under Ground,Children's Books,Australia,Cobblestone Productions Pty. Ltd.,Under licence from the British Libraryone of the most beloved stories in the history of literature will be brought back to life!
49,1972: The Future of Sex,Theater,GB,The Wardrobe Ensemble,The Wardrobe Ensemble need your help to finish their latest show 1972: The Future of Sex
185C,The Voix De Ville! : A Pop-up Theater and Cabaret,Spaces,United States,Jason & Danielle Tilk,"Voix de Ville is a pop-up imaginarium of neo-vaudeville, musical extravaganza, circus arts, comedy, and theatre in a tiny circus tent!"
142C,My own musical,Musical,Germany,Mirjam Sigg,All the world's a stage...It is my biggest dream to perform my ownselfcreated musical with lots of kids as big as I am able to.
399B,Insatiable! 7th Asian American Playwrights' Festival,Festivals,United States,SIS Writers Group,Help Insatiable! develop diverse stories and voices of Asian American playwrights through our annual play reading festival in Seattle.
251C,Butcher Holler Here We ComeNYC Premiere,Immersive,United States,Aztec Economy,"Aztec Economy finally brings Butcher Holler Here We Come to NYC after successful runs in Texas, Ohio, Florida, Louisiana, & Maryland."
222C,Fireside magazine Issue Two & Beyond,Fiction,United States,Brian White,Fireside is a multigenre magazine of fiction and comics. We have two goals: to publish good storytelling and to pay creators well.
330C,Bird Machine' flys to Bulgaria,Theater,United States,Concrete Temple Theatre (deleted),Fly three of the performers in Concrete Temple Theatre's BIRD MACHINE to the 2011 PIERROT FESTIVAL in Stara Zagora Bulgaria.
389C,Showbiz: Active Terrorism (A Multimedia Musical),Experimental,United States,Sebastian Cummings,Showbiz is a musical that comedically follows the life of Sebastiana young queer person of color and their journey to Showbiz.
74B,Ask a Forensic Artist,Nonfiction,United States,Lisa Bailey,From shattered skulls to suspects of crime: how forensic artists help solve law enforcement's toughest cases.
